,name,rate,reviews_num,type,price_level,review,lat,lng,subtype,hotness
125,Pho Bo Ga Mekong,3.9,435,"Asian, Vietnamese",$,“Soup was just nice.. and as per Vietnam...”,-37.812393,144.964778,Vietnamese,2131.5
126,Bamboo House Chinese Restaurant,4.4,383,"Chinese, Asian",$$ - $$$,"“Oysters, Scallops, Dumplings, Calamari and Duck.”",-37.810875,144.9711191,Chinese,2068.2
127,Cicciolina,4.6,363,"Italian, Mediterranean",$$ - $$$,"“... by juicy generous portions of salmon linguini, spaghetti vongole and rico...”",-37.8685591,144.9800192,Italian,2032.8
128,Mesh - Crown Promenade,3.9,427,"Seafood, Australian",$$ - $$$,"“... awesome, my favorite part was the prawns, it was actually the center of all.”",-37.8238322,144.9603312,Australian,2092.3
129,Degraves Espresso Bar,3.7,446,"Cafe, Australian",$$ - $$$,“French toast with berries and maple syrup was so good.”,-37.8171708,144.9656635,Australian,2096.2
130,La Luna Bistro,4.5,363,"Steakhouse, European",$$ - $$$,“... had to tell her that this is the only place that I will eat smoked salmon.”,-37.7910915,144.9718497,Steakhouse,1996.5
131,Box Seafood Restaurant,4.2,388,"Seafood, Australian",$$$$,“Lovely seafood”,-37.8153416,144.9677447,Australian,2017.6
132,Becco,4.4,366,"Italian, Mediterranean",$$$$,“... followed by the tagliata steak and the veal saltimbocca.. both were perfect.”,-37.8114141,144.9708906,Italian,1976.4
182,The Botanical,3.9,322,"Australian, International",$$ - $$$,"“... cerviche, a salad and passionfruit ...”",-37.8341972,144.9816639,Australian,1577.8
134,Maccaroni Trattoria Italiana,4.3,373,"Italian, Pizza",$$ - $$$,“Good Pasta Choices”,-37.8160732,144.9659752,Italian,1976.9
135,Ruyi Modern Chinese,4.4,361,"Chinese, Asian",$$ - $$$,“We enjoyed every dish - always a favourite are dumplings and Ruyi didn't disa...”,-37.8111063,144.9714699,Chinese,1949.4
136,Red Pepper Indian Restaurant,4,397,"Indian, Asian",$$ - $$$,"“Excellent food, best service, awesome ambience #Indian”",-37.811314,144.972481,Indian,1985
137,Meat Market South Wharf,3.9,404,"Steakhouse, Australian",$$ - $$$,"“Wagroup , the ribs were a big hit”",-37.824086,144.949676,Australian,1979.6
138,Two Birds One Stone,4.4,357,"Cafe, Australian",$$ - $$$,“Best pancakes in the city”,-37.837997,144.9940243,Australian,1927.8
139,Kisume,4.3,364,Japanese,$$$$,"“... 6) Ora king salmon nigiri, 7) Tuna (from Tasmania) nigiri, 8) Swordfish n...”",-37.8162147,144.9687994,Japanese,1929.2
140,Chez Dre Cafe,4.1,379,"Cafe, Australian",$$ - $$$,“Fancy place”,-37.8326517,144.9582289,Australian,1932.9
141,Shark Fin House,3.8,408,Chinese,$$ - $$$,“Noodle with lobster is delicious menu”,-37.8116055,144.968557,Chinese,1958.4
142,Hakata Gensuke Ramen,4.4,352,"Japanese, Asian",$,“Perfect Ramen soup and very”,-37.812275,144.968152,Japanese,1900.8
143,Universal Restaurant,4.4,350,"Italian, Bar",$$ - $$$,“Great prices and food!”,-37.8038693,144.9661093,Italian,1890
144,Bergerac French Restaurant,4.5,340,"French, European",$$ - $$$,“Superb snails”,-37.8141806,144.9562417,French,1870
145,Rare Steakhouse Midtown,4.5,336,"Steakhouse, Australian",$$ - $$$,“Deeeeeelish”,-37.813386,144.960767,Australian,1848
146,Meatmaiden,4.5,335,"Steakhouse, Barbecue",$$ - $$$,“Get the lobster mac and cheese”,-37.8140895,144.9677883,Steakhouse,1842.5
147,Criniti's Southbank,3.6,411,"Italian, Pizza",$$ - $$$,"“Others had pasta and pizza, and even the plain Margherita pizza was yummy.”",-37.8213637,144.9622857,Italian,1890.6
148,Mercadante Woodfired Pizzeria,4.1,358,"Italian, Pizza",$$ - $$$,“Fantastic Restaurant”,-37.8040987,144.966046,Italian,1825.8
149,Entrecote,4.3,340,"French, Steakhouse",$$ - $$$,“One of the best Steak Tartare in Melbourne.”,-37.8493587,144.9915047,French,1802
150,Fatto Bar and Cantina,3.5,416,Italian,$$ - $$$,"“... specialises in pasta, steak and sea...”",-37.8201031,144.967939,Italian,1872
151,Vapiano Flinders Lane,4,362,"Italian, Pizza",$$ - $$$,"“Ordered the lasagna and it was hot and tasty, I opted for the extra cheese, w...”",-37.8175413,144.9630587,Italian,1810
152,Jardin Tan,3.6,401,"Cafe, Asian",$$ - $$$,“Fusion Vietnamese restaurant situated in the botanical gardens.”,-37.829533,144.975716,Caf�,1844.6
153,Kri Kri,3.9,370,"Mediterranean, Greek",$$ - $$$,"“Great food, good vegetarian and vegan...”",-37.810836,144.971506,Mediterranean,1813
200,Eureka 89,4.6,252,"International, Australian",$$$$,"“The 6 course tasting menu was absolutely awesome, personal highlight was the...”",-37.821413,144.964471,Australian,1411.2
155,The Crafty Squire,4.2,341,"Bar, Pub",$$ - $$$,“Excellent brewery pub”,-37.813709,144.968264,Pub,1773.2
156,Yassas - The Greek Way,4,356,"Mediterranean, Greek",$$ - $$$,“Good Greek”,-37.811678,144.936977,Mediterranean,1780
157,Renzo's Bar Cafe Italiano,4.1,347,"Italian, Pizza",$$ - $$$,“The bruschetta was absolutely delicious and the staff were delightful and eff...”,-37.8147448,144.9416482,Italian,1769.7
158,Dragon Boat Restaurant,3.5,405,"Chinese, Asian",$$ - $$$,"“The Szuchuan Chili Beef, Honey Glazed Chicken in Pepper Sauce, Garlic King Pr...”",-37.8122222,144.9666667,Chinese,1822.5
159,Young and Jacksons,4.2,337,"Bar, Pub",$$ - $$$,“Cross roads of Melbourne”,-37.8173408,144.9671631,Pub,1752.4
160,Lucky Chan,2.9,484,"Chinese, Asian",$$ - $$$,“Great Dim Sum”,-37.8231083,144.9576861,Chinese,1887.6
161,Supper Inn,4,349,"Chinese, Asian",$$ - $$$,“Consistently great hidden gem”,-37.8118638,144.966165,Chinese,1745
162,Portello Rosso,4.3,324,"Mediterranean, Spanish",$$ - $$$,“Sensational Spanish Tapas and Paella”,-37.8137694,144.9618806,Mediterranean,1717.2
163,China Red,4.1,337,"Chinese, Asian",$$ - $$$,“Amazing Dumplings!”,-37.8123889,144.9667083,Chinese,1718.7
164,Byblos Bar & Restaurant,4.5,306,Middle Eastern,$$ - $$$,“... in marinated grape leaves) 4. Fattoush (mixed leaves salad in a light vin...”,35.7045096,139.5451603,Middle Eastern,1683
165,Taco Bill,4.6,298,Mexican,$$ - $$$,“Could do with an update”,-37.836144,144.96234,Mexican,1668.8
166,Hash Specialty Coffee,4.4,310,"Cafe, Australian",$$ - $$$,“◾Hash Hot chocolate - Mork even Darker...”,-37.8123164,144.9605551,Australian,1674
167,El Rincon,4.5,302,"Mediterranean, European",$$ - $$$,“The mussels in white wine and Ana's tortilla are a must try.”,-37.806407,144.958841,Mediterranean,1661
168,Bowery to Williamsburg,4.5,302,"American, Cafe",$$ - $$$,“... coffee and a GF Reuben sandwich.”,-37.8162381,144.970252,American,1661
169,Tim Ho Wan,3.8,353,"Chinese, Asian",$$ - $$$,“DimSum to die for”,-37.8129204,144.9671058,Chinese,1694.4
170,Din Tai Fung (Emporium Melbourne),4.2,317,"Chinese, Asian",$$ - $$$,“Tasty assortment of deliciousness to...”,-37.8126034,144.9646015,Chinese,1648.4
171,The Mess Hall,4.2,316,"Cafe, Australian",$$ - $$$,“... yummy salmon and the best mushrooms...”,-37.8119339,144.9717364,Australian,1643.2
172,Silks,3.7,357,"Chinese, Asian",$$$$,"“... included oysters, pork spring rolls, dumplings, calamari, quail and lobster.”",-37.8218012,144.9601499,Chinese,1677.9
173,11 Inch Pizza,4.6,287,"Italian, Pizza",$,"“Great pizza and salad, delivery was eas...”",-37.8156089,144.9630715,Italian,1607.2
